record_id,record_type,category,date,date_precision,title,actors,person_id,venue,summary,significance,claim_status,topic_tags,source_url,confidence,provenance
EVT-001,event,sighting,1947-06-24,day,Kenneth Arnold sighting,Kenneth Arnold,,US,Private pilot reports nine objects near Mount Rainier,Origin of the 'flying saucer' term and the modern UFO era,,,,high,seed_corpus
EVT-002,event,incident,1947-07-08,day,Roswell Army Air Field press release,Walter Haut|Jesse Marcel Sr.,,US,"RAAF announces recovery of a 'flying disc', retracted the same day",Foundational case for crash-retrieval claims,,,,high,seed_corpus
EVT-003,event,document,1947-09-23,day,Twining memo,Nathan Twining,,US,USAF memo states the reported phenomenon is real and not visionary,Earliest high-level official acknowledgement in the record,,,,high,seed_corpus
EVT-004,event,program,1952,year,Project Blue Book established,Edward J. Ruppelt,,US,USAF public UFO investigation program begins,Institutional baseline for official US investigation through 1969,,,,high,seed_corpus
EVT-005,event,policy,1953-01,month,Robertson Panel,CIA-convened scientists,,US,CIA panel recommends stripping UFO reports of special status,Frequently cited as the origin of engineered public stigma,,,,high,seed_corpus
EVT-006,event,sighting,1964-04-24,day,Socorro landing case,Lonnie Zamora,,US,Police officer reports a landed craft and occupants,Remains officially unexplained; a benchmark classic case,,,,high,seed_corpus
EVT-007,event,incident,1967-03-24,day,Malmstrom AFB missile shutdown,Robert Salas|Frederick Meiwald,,US,Minuteman missiles reportedly go off-alert during UFO activity,Anchor case for the nuclear-UFO connection,,,,medium,seed_corpus
EVT-008,event,program,1969-12,month,Project Blue Book closed,US Air Force,,US,USAF ends public UFO investigation citing the Condon Report,Removed the official reporting channel for 50 years,,,,high,seed_corpus
EVT-009,event,incident,1975-11-05,day,Travis Walton case,Travis Walton,,US,Logger reported missing for five days after a claimed encounter,Most-scrutinised multi-witness abduction claim,,,,high,seed_corpus
EVT-010,event,incident,1980-12,month,Rendlesham Forest incident,Charles Halt|James Penniston|John Burroughs,,UK,USAF personnel report an object near RAF Woodbridge/Bentwaters,The leading non-US military case; Halt memo is the documentary anchor,,,,high,seed_corpus
EVT-011,event,media,1989-05,month,Bob Lazar goes public,Bob Lazar|George Knapp,,US,KLAS-TV interviews Lazar about S-4,Created the modern Area 51 reverse-engineering narrative,,,,high,seed_corpus
EVT-012,event,sighting,1997-03-13,day,Phoenix Lights,Fife Symington (witness),,US,Mass sighting over Arizona and Nevada,Largest modern US mass-witness event,,,,high,seed_corpus
EVT-013,event,press_event,2001-05-09,day,Disclosure Project National Press Club event,Steven Greer,,US,Dozens of military and government witnesses present testimony,Template for later witness-testimony campaigns,,,,high,seed_corpus
EVT-014,event,incident,2004-11-14,day,USS Nimitz Tic Tac encounter,David Fravor|Alex Dietrich|Kevin Day|Gary Voorhis|Chad Underwood,,US,Carrier strike group tracks and intercepts an anomalous object,Strongest modern multi-sensor military case,,,,high,seed_corpus
EVT-015,event,incident,2014-2015,range,USS Theodore Roosevelt / East Coast encounters,Ryan Graves,,US,Repeated UAP encounters reported off the US East Coast,Basis for the aviation-safety framing and Graves' testimony,,,,high,seed_corpus
EVT-016,event,org_launch,2017-10-11,day,To The Stars Academy launch,Tom DeLonge|Luis Elizondo|Jim Semivan|Hal Puthoff,,US,Former officials join a private venture and go public,Vehicle for the 2017 disclosures,,,,high,seed_corpus
EVT-017,event,media,2017-12-16,day,New York Times AATIP story,Leslie Kean|Ralph Blumenthal|Helene Cooper|Luis Elizondo|Harry Reid,,US,NYT reveals the Pentagon's AATIP program and publishes Navy videos,The single most consequential media event of the modern era,,,,high,seed_corpus
EVT-018,event,official_release,2020-04-27,day,Pentagon officially releases three Navy videos,Department of Defense,,US,"DoD authorises release of FLIR1, Gimbal and GoFast",First formal government acknowledgement of the footage as genuine and unidentified,,,,high,seed_corpus
EVT-019,event,report,2021-06-25,day,ODNI Preliminary Assessment on UAP,ODNI|UAPTF,,US,Assessment covering 144 reports; only one resolved,Made official uncertainty a matter of public record,,,,high,seed_corpus
EVT-020,event,hearing,2022-05-17,day,First public congressional UAP hearing in over 50 years,Andre Carson (chair)|Scott Bray|Ronald Moultrie,,US,House Intelligence subcommittee hearing,Returned UAP to formal public oversight,,,https://www.congress.gov/,high,seed_corpus
EVT-021,event,program,2022-07,month,AARO established,Department of Defense|ODNI,,US,All-domain Anomaly Resolution Office stood up,Current statutory home of US UAP investigation,,,https://www.aaro.mil/,high,seed_corpus
EVT-022,event,media,2023-06-05,day,The Debrief publishes the Grusch allegations,David Grusch|Leslie Kean|Ralph Blumenthal,,US,Report on alleged crash-retrieval and reverse-engineering programs,Opened the whistleblower phase of the modern era,,,https://thedebrief.org/,high,seed_corpus
EVT-024,event,legislation,2023-07,month,UAP Disclosure Act introduced,Chuck Schumer|Mike Rounds|Marco Rubio|Kirsten Gillibrand,,US,Bipartisan bill for a records review board and eminent domain over recovered technology,Passed the Senate; core provisions stripped in conference (Dec 2023),,,,high,seed_corpus
EVT-023,event,hearing,2023-07-26,day,House Oversight hearing: UAP - Implications on National Security,David Grusch|David Fravor|Ryan Graves|Tim Burchett|Anna Paulina Luna|Jared Moskowitz,,US,Sworn testimony on UAP encounters and alleged hidden programs,The landmark public hearing of the modern era,,,https://www.congress.gov/event/118th-congress/house-event/116282/text,high,seed_corpus
EVT-025,event,report,2023-09-14,day,NASA UAP Independent Study Team report,David Spergel|Iain Boyd|Michael Gold,,US,NASA publishes its independent study and appoints a UAP research director,Institutional science formally engages the subject,,,https://www.nasa.gov/uap/,high,seed_corpus
EVT-026,event,conference,2023-11,month,Sol Foundation inaugural symposium,Garry Nolan|Peter Skafish|Karl Nell,,US,Academic/policy conference on UAP and post-disclosure questions,Created an academic venue for the subject,,,https://thesolfoundation.org/,medium,seed_corpus
EVT-027,event,report,2024-03-08,day,AARO Historical Record Report Volume I,Sean Kirkpatrick|AARO,,US,AARO finds no verifiable evidence of extraterrestrial technology or reverse-engineering programs,The principal official counter-narrative document; disputed by advocates,,,https://www.aaro.mil/,high,seed_corpus
EVT-046,event,media,2024-11,month,Immaculate Constellation report surfaces,Michael Shellenberger|Matthew Brown,,US,A whistleblower-sourced report alleging an unacknowledged UAP imagery program is submitted to Congress and published,Introduced the program name that dominated 2025-2026 whistleblower discussion,,,https://www.congress.gov/event/118th-congress/house-event/117721,high,seed_corpus
EVT-028,event,hearing,2024-11-13,day,House Oversight hearing: UAP - Exposing the Truth,Luis Elizondo|Tim Gallaudet|Michael Gold|Michael Shellenberger,,US,Second major Oversight hearing; Immaculate Constellation allegations surfaced,Broadened allegations to an unacknowledged imagery program,,,https://www.congress.gov/event/118th-congress/house-event/117721,high,seed_corpus
EVT-029,event,media,2025-01-18,day,NewsNation 'Hunting UFOs' - Jake Barber,Jake Barber|Ross Coulthart,,US,First public appearance of the crash-retrieval pilot whistleblower,Introduced the psionics/retrieval narrative to a mass audience,,,,high,seed_corpus
EVT-030,event,media,2025-01-30,day,American Alchemy publishes the Jake Barber interview,Jake Barber|Jesse Michels,,US,Three-hour long-form interview,Made a YouTube podcast a primary disclosure venue,,,https://podcasts.apple.com/us/podcast/id1771917740,high,seed_corpus
EVT-031,event,documentary,2025-03,month,The Age of Disclosure premieres at SXSW,Dan Farah|Marco Rubio|Kirsten Gillibrand|Luis Elizondo|Jay Stratton|James Clapper|Garry Nolan|Hal Puthoff|Eric W. Davis|Christopher Mellon|Tim Gallaudet|Michael Gold|Jim Semivan|Brett Feddersen|Mike Gallagher|Andre Carson|Mike Rounds|Tim Burchett|Anna Paulina Luna|Alexandria Ocasio-Cortez,,US,"Documentary featuring 34 senior government, military and intelligence figures",Consolidated an on-camera elite record alleging an 80-year cover-up,,,https://www.imdb.com/title/tt35520315/,high,seed_corpus
EVT-032,event,media,2025-05,month,Skywatcher goes public via American Alchemy,James Fowler|Jake Barber|Jesse Michels,,US,Commercial UAP-detection venture presents footage and claims,Introduced a private-sector 'summoning'/detection narrative,,,,medium,seed_corpus
EVT-033,event,hearing,2025-09-09,day,House Oversight Task Force hearing: Restoring Public Trust Through UAP Transparency and Whistleblower Protection,Anna Paulina Luna (chair)|Jeffrey Nuccetelli|Alexandro Wiggins|George Knapp|Dylan Borland|Eric Burlison|Jared Moskowitz,,US,Military witnesses allege incursions and retaliation; a journalist testifies,Shifted the focus to whistleblower protection and AARO's responsiveness,,,https://oversight.house.gov/release/hearing-wrap-up-government-must-be-more-transparent-about-uaps/,high,seed_corpus
EVT-034,event,legislation,2025-12,month,FY2026 NDAA UAP provisions,Congress|Disclosure Foundation,,US,"Three UAP provisions adopted, including reporting on military UAP intercepts",Incremental statutory transparency gains,,,https://defensescoop.com/2025/12/10/uap-ufo-military-intercepts-north-america-fy-2026-ndaa/,high,seed_corpus
EVT-045,event,oversight,2026,year,Senate Intelligence Committee subpoenas to defence contractors,Senate Select Committee on Intelligence,,US,Subpoenas reportedly issued to private contractors alleged to hold legacy UAP programs,First attempt to compel private entities rather than agencies,,,https://uapdisclosuretracker.com/,low,seed_corpus
EVT-035,event,policy,2026-02-25,day,Hegseth reaffirms the UAP disclosure directive,Pete Hegseth|Jon Kosloski|Jordan Flowers,,US,"Defence leadership commits to the presidential disclosure push; AARO caseload exceeds 2,000",Executive-branch endorsement of disclosure as policy,,,https://defensescoop.com/2026/02/25/hegseth-ufo-disclosure-trump-aaro-uap-caseload/,high,seed_corpus
EVT-047,event,oversight,2026-04,month,Luna requests specific UAP videos from the Department of War,Anna Paulina Luna|Pete Hegseth,,US,Task force chair formally requests a defined set of UAP videos with a mid-April deadline,Moved oversight from general requests to itemised demands,,,,medium,seed_corpus
EVT-036,event,official_release,2026-05-08,day,PURSUE Task Force first document tranche,PURSUE Task Force,,US,First public release of UAP-related videos and files under the presidential initiative,Beginning of the 2026 tranche releases (five tranches to date),,,https://www.dlapiper.com/en-us/insights/publications/2026/08/odni-issues-preliminary-guidance-on-disclosure-of-unidentified-anomalous-phenomena,high,seed_corpus
EVT-048,event,official_release,2026-05-13,day,First tranche reaction: 162 records released,Department of War|Luis Elizondo|Ryan Graves|Tom DeLonge|Ross Coulthart|Tim Burchett,,US,Community and principal figures respond to the first official file release; 28 unresolved UAP videos noted separately,Set the template for tranche-by-tranche disclosure fights,,,,medium,seed_corpus
EVT-039,event,advisory,2026-06,month,UAP Science Advisory Council formed,Avi Loeb|ODNI|AARO,,US,Scientific council created to advise the government on UAP,First formal scientific advisory structure across ODNI/AARO/White House,,,https://defensescoop.com/2026/06/17/new-science-advisory-council-forms-to-help-us-government-resolve-the-uap-mystery/,high,seed_corpus
EVT-040,event,forum,2026-06,month,Senate UAP Disclosure Forum (Kennedy Caucus Room),Avi Loeb|Disclosure Foundation|members of Congress,,US,Panels on the science and policy of UAP hosted by the Disclosure Foundation,Signalled institutional normalisation inside the Senate complex,,,https://avi-loeb.medium.com/uap-disclosure-forum-in-the-u-s-senate-10a8d3af1028,high,seed_corpus
EVT-049,event,cultural,2026-06,month,Disclosure Day (Spielberg) theatrical release,Steven Spielberg,,US,A major studio UFO feature released into the middle of the disclosure news cycle,Largest mainstream cultural amplification of the subject in the period,,,,medium,seed_corpus
EVT-037,event,report,2026-06-05,day,AARO report on October 2023 anomalous orb activity,Jon Kosloski|Avi Loeb (commentary),,US,Report describes orb phenomena observed by law enforcement; roughly 40% unresolved,Cited as evidence that the objects did not behave like conventional drones,,,https://defensescoop.com/2026/06/17/new-science-advisory-council-forms-to-help-us-government-resolve-the-uap-mystery/,high,seed_corpus
EVT-038,event,press_event,2026-06-09,day,Capitol Hill UAP press event with David Grusch,David Grusch|Eric Burlison,,US,Grusch alleges DIA obstruction and hidden spending; lawmakers call for NDA waivers and immunity,Re-centred the whistleblower agenda in 2026,,,https://www.foxnews.com/politics/ufo-whistleblower-claims-billions-secret-spending-hidden-from-congress,high,seed_corpus
EVT-050,event,press_statement,2026-07,month,Burlison describes a western US plasma-orb encounter,Eric Burlison|Salvatore Pais|Tulsi Gabbard (office),,US,A member of Congress recounts a briefing describing glowing orbs interacting with a helicopter and F-16s,Elevated a specific case into the congressional record of public claims,,,https://feeds.megaphone.fm/jessemichels,medium,seed_corpus
EVT-041,event,legislation,2026-07-22,day,House adopts the UAP Disclosure Act into the FY2027 NDAA,US House of Representatives,,US,"House version of the UAPDA, including eminent domain over recovered technology, adopted as an NDAA amendment",Most significant legislative advance since 2023,,,https://www.dlapiper.com/en-us/insights/publications/2026/08/odni-issues-preliminary-guidance-on-disclosure-of-unidentified-anomalous-phenomena,high,seed_corpus
EVT-042,event,policy,2026-08,month,ODNI preliminary disclosure guidance,ODNI|Department of War,,US,Guidance directs a process letting the workforce disclose UAP information notwithstanding prior NDAs,Removes a core legal barrier cited by whistleblowers,,,https://www.dlapiper.com/en-us/insights/publications/2026/08/odni-issues-preliminary-guidance-on-disclosure-of-unidentified-anomalous-phenomena,high,seed_corpus
EVT-051,event,media,2026-08-29,day,Matthew Brown goes long-form public,Matthew Brown|Jesse Michels,,US,The Immaculate Constellation source gives a three-hour public account,Moved the program's primary source from anonymity to on-camera testimony,,,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
EVT-043,event,media,2026-09,month,PARADIGM unmasks 'Whistling Mike' as Michael Spicer,Michael Spicer|PARADIGM,,US,Source behind a rock sample held by Senate Intelligence staff identified publicly,New physical-evidence claim entering the record,,,https://www.paradigm.news/p/exclusive-new-ufo-whistleblower-unmasked,medium,seed_corpus
EVT-044,event,policy_research,2026-09,month,Sol Foundation disclosure-preparedness study; Disclosure Foundation framework,Sol Foundation|Disclosure Foundation,,US,Research programs on how to disclose safely; national preparedness framework released,Shift from 'is it real' to 'how to manage disclosure',,,https://www.paradigm.news/p/exclusive-new-ufo-whistleblower-unmasked,medium,seed_corpus
EVT-052,event,media,2026-09-07,day,Ellsworth AFB 1977 witnesses reunite publicly,Mario Woods|Michael Johnson|Yvonne Smith|Jesse Michels,,US,Two former USAF security policemen reunite on camera and undergo dual regression sessions,Revived the nuclear-site witness thread with new named witnesses,,,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
STM-001,statement,congressional_hearing,2023-07-26,day,David Grusch - House Oversight Committee,David Grusch,UP-0032,House Oversight Committee,Testified under oath that he was informed of a multi-decade crash-retrieval and reverse-engineering program and that non-human biologics were recovered; his knowledge is largely secondhand from cleared witnesses,,sworn_testimony|secondhand,crash_retrieval|reverse_engineering|oversight,https://www.congress.gov/event/118th-congress/house-event/116282/text,high,seed_corpus
STM-002,statement,press_event,2026-06-09,day,David Grusch - US Capitol,David Grusch,UP-0032,US Capitol,Accused the Defense Intelligence Agency of obstructing congressional oversight and alleged billions in spending hidden from Congress,,on_record_public,oversight|budget|obstruction,https://www.foxnews.com/politics/ufo-whistleblower-claims-billions-secret-spending-hidden-from-congress,high,seed_corpus
STM-003,statement,congressional_hearing,2023-07-26,day,David Fravor - House Oversight Committee,David Fravor,UP-0034,House Oversight Committee,"Testified that the 2004 Tic Tac object was far beyond anything then or currently fielded, and that such capability requires congressional oversight",,sworn_testimony|firsthand,nimitz|capability|oversight,https://www.congress.gov/event/118th-congress/house-event/116282/text,high,seed_corpus
STM-004,statement,congressional_hearing,2023-07-26,day,Ryan Graves - House Oversight Committee,Ryan Graves,UP-0033,House Oversight Committee,"Testified that UAP encounters off the East Coast were routine, under-reported, and constitute an aviation-safety issue",,sworn_testimony|firsthand,aviation_safety|reporting|east_coast,https://www.congress.gov/event/118th-congress/house-event/116282/text,high,seed_corpus
STM-005,statement,congressional_hearing,2025-09-09,day,Jeffrey Nuccetelli - House Oversight Task Force,Jeffrey Nuccetelli,UP-0039,House Oversight Task Force,Described UAP incursions near Vandenberg AFB c.2003-2005 witnessed by multiple personnel and documented up the chain; urged funding for independent research and an end to over-classification,,sworn_testimony|firsthand,nuclear_adjacent|incursions|classification,https://defensescoop.com/2025/09/09/military-whistleblowers-share-new-evidence-alleged-uap-ufo-hearing/,high,seed_corpus
STM-006,statement,congressional_hearing,2025-09-09,day,Dylan Borland - House Oversight Task Force,Dylan Borland,UP-0041,House Oversight Task Force,"Described witnessing a large triangular craft at Langley AFB in 2012 and detailed clearance manipulation, blacklisting and phishing attempts following his 2023 ICIG complaint",,sworn_testimony|firsthand,retaliation|whistleblower_protection|langley,https://oversight.house.gov/wp-content/uploads/2025/09/Borland-Written-Testimony.pdf,high,seed_corpus
STM-007,statement,congressional_hearing,2025-09-09,day,George Knapp - House Oversight Task Force,George Knapp,UP-0042,House Oversight Task Force,"Testified that the public has been repeatedly reassured there is nothing to the subject, and that governments have admitted using UFO narratives as cover for secret projects and have also reverse-engineered such cover stories",,sworn_testimony|journalism,disinformation|area_51|history,https://oversight.house.gov/release/hearing-wrap-up-government-must-be-more-transparent-about-uaps/,high,seed_corpus
STM-008,statement,documentary,2025-03,month,Marco Rubio - The Age of Disclosure,Marco Rubio,UP-0012,The Age of Disclosure,Stated there have been repeated instances of something operating in airspace over restricted nuclear facilities that is not American,,on_record_public|official,nuclear_sites|national_security,https://www.foxnews.com/politics/the-age-disclosure-new-documentary-explores-claims-80-year-cover-up-non-human-life.amp,high,seed_corpus
STM-009,statement,documentary,2025-03,month,Jay Stratton - The Age of Disclosure,Jay Stratton,UP-0006,The Age of Disclosure,Described a 'legacy program' that he says hoards UAP knowledge in order to weaponize it,,documentary_interview|allegation,legacy_program|weaponization,https://www.santafenewmexican.com/pasatiempo/movies/state-secrets-inside-dan-farah-s-the-age-of-disclosure/article_a81afeb8-993e-4acc-aede-4056a31b9f16.html,high,seed_corpus
STM-010,statement,forum,2026-06,month,"Avi Loeb - Senate UAP Disclosure Forum, Kennedy Caucus Room",Avi Loeb,UP-0059,"Senate UAP Disclosure Forum, Kennedy Caucus Room","Argued it is premature to converge on interpretations given poor public data quality, and that more resources must go to scientific study; noted the June 2026 AARO report found the October 2023 orbs did not behave like drones",,scientific_analysis|official_advisory,data_quality|orbs|research_funding,https://avi-loeb.medium.com/uap-disclosure-forum-in-the-u-s-senate-10a8d3af1028,high,seed_corpus
STM-011,statement,government_report,2026-06-05,day,Jon Kosloski - AARO,Jon Kosloski,UP-0001,AARO,"Reported that law-enforcement observers recorded anomalous orb phenomena over two days in October 2023, including a larger orb apparently releasing smaller ones, with roughly 40% of reported phenomena unresolved",,official_position,orbs|unresolved_cases,https://defensescoop.com/2026/06/17/new-science-advisory-council-forms-to-help-us-government-resolve-the-uap-mystery/,high,seed_corpus
STM-012,statement,government_report,2024-03-08,day,Sean Kirkpatrick - AARO Historical Record Report Vol. I,Sean Kirkpatrick,UP-0002,AARO Historical Record Report Vol. I,Concluded AARO found no verifiable evidence that any UAP sighting represented extraterrestrial technology or that the US government reverse-engineered non-human craft,,official_position|contested,official_denial|historical_review,https://www.aaro.mil/,high,seed_corpus
STM-013,statement,advocacy,2025,year,Christopher Mellon - Disclosure Foundation,Christopher Mellon,UP-0279,Disclosure Foundation,"Argues the existing statutory framework already gives the administration a path to release UAP records, and that partial or selective disclosure is the main risk",,policy_analysis,records_release|policy,https://defensescoop.com/2026/02/25/hegseth-ufo-disclosure-trump-aaro-uap-caseload/,high,seed_corpus
STM-014,statement,press_comment,2025-12-10,day,Jordan Flowers - DefenseScoop,Jordan Flowers,UP-0108,DefenseScoop,Called the FY26 NDAA UAP provisions a meaningful if incremental step toward transparency and oversight,,policy_analysis,legislation|ndaa,https://defensescoop.com/2025/12/10/uap-ufo-military-intercepts-north-america-fy-2026-ndaa/,high,seed_corpus
STM-015,statement,tv_interview,2025-01-18,day,Jake Barber - NewsNation,Jake Barber,UP-0397,NewsNation,Claimed roughly three decades of official and unofficial work including contracting as a helicopter pilot to retrieve downed craft at undisclosed desert facilities,,contested|firsthand_claim,crash_retrieval|psionics,,high,seed_corpus
STM-016,statement,congressional_hearing,2024-11-13,day,Luis Elizondo - House Oversight Committee,Luis Elizondo,UP-0036,House Oversight Committee,Testified that a long-term UAP program exists without appropriate congressional oversight and that the US is in possession of UAP technology,,sworn_testimony|contested,legacy_program|oversight,https://www.congress.gov/event/118th-congress/house-event/117721,high,seed_corpus
STM-017,statement,congressional_hearing,2024-11-13,day,Michael Shellenberger - House Oversight Committee,Michael Shellenberger,UP-0038,House Oversight Committee,Presented whistleblower-sourced claims of an unacknowledged UAP imagery-collection program referred to as Immaculate Constellation,,on_record_public|secondhand,immaculate_constellation|imagery,https://www.congress.gov/event/118th-congress/house-event/117721,high,seed_corpus
STM-018,statement,analysis,2021,year,Mick West - Metabunk,Mick West,UP-0372,Metabunk,"Argues the best-known Navy videos are explicable through glare, parallax and camera artifacts rather than anomalous flight",,skeptical_analysis,gimbal|gofast|flir1|debunking,https://www.metabunk.org/,high,seed_corpus
STM-019,statement,press_comment,2025-06,month,Marik von Rennenkampff - Liberation Times,Marik von Rennenkampff,UP-0107,Liberation Times,"Said AARO under its founding director appeared to act disingenuously, citing a senior SAP official's denial of alleged service-wide UFO 'hazing' programs",,analysis|allegation,aaro_credibility|disinformation,https://www.liberationtimes.com/home/from-moscow-to-malmstrom-russian-style-disinformation-tactics-target-us-ufo-transparency-efforts,high,seed_corpus
STM-020,statement,committee_statement,2026-04,month,Anna Paulina Luna - House Oversight Committee,Anna Paulina Luna,UP-0018,House Oversight Committee,Stated that AARO's responses to the task force have been less than adequate and that UAP presence in restricted US airspace is concerning,,official_position,aaro_oversight|airspace,https://oversight.house.gov/release/luna-continues-transparency-investigation-into-uaps/,high,seed_corpus
STM-021,statement,press_event,2026-06,month,Eric Burlison - US Capitol,Eric Burlison,UP-0019,US Capitol,Called on the President to waive NDAs for those with knowledge of alleged UAP programs and to grant immunity to witnesses willing to testify,,official_position,nda_waiver|immunity|subpoena,https://www.foxnews.com/politics/ufo-whistleblower-claims-billions-secret-spending-hidden-from-congress,high,seed_corpus
STM-022,statement,interview,2025-11,month,Dan Farah - Press tour,Dan Farah,UP-0205,Press tour,"Says every one of the 34 senior officials interviewed treated the existence of the phenomenon as settled, and describes a secret cold-war race to reverse-engineer non-human technology",,documentary|claim,cold_war_race|elite_testimony,https://deadline.com/2025/12/age-of-disclosure-director-interview-ufo-documentary-1236633236/,high,seed_corpus
STM-023,statement,media_interview,2026-09,month,Michael Spicer - PARADIGM,Michael Spicer,UP-0435,PARADIGM,Identified himself as the source of a dense rock sample held by Senate Intelligence Committee staff and described a close-range triangular-craft encounter in Kansas in the early 2000s,,contested|firsthand_claim,physical_evidence|senate,https://www.paradigm.news/p/exclusive-new-ufo-whistleblower-unmasked,medium,seed_corpus
STM-024,statement,legislative_statement,2023-07,month,Chuck Schumer - US Senate,Chuck Schumer,UP-0014,US Senate,"Stated that the American public has a right to learn about technologies of unknown origin, non-human intelligence and unexplainable phenomena",,official_position,uapda|records,,high,seed_corpus
STM-025,statement,conference,2023-09,month,Karl Nell - SALT conference / public remarks,Karl Nell,UP-0395,SALT conference / public remarks,Stated that non-human intelligence is a real and ongoing matter and that disclosure is inevitable but being managed,,on_record_public|contested,nhi|managed_disclosure,,medium,seed_corpus
STM-026,statement,congressional_hearing,2024-11-13,day,Tim Gallaudet - House Oversight Committee,Tim Gallaudet,UP-0035,House Oversight Committee,Testified about transmedium and undersea anomalous objects and the national-security implications of ignoring them,,sworn_testimony,transmedium|uso|navy,https://www.congress.gov/event/118th-congress/house-event/117721,high,seed_corpus
STM-027,statement,congressional_hearing,2025-09-09,day,Alexandro Wiggins - House Oversight Task Force,Alexandro Wiggins,UP-0040,House Oversight Task Force,Underscored specific points for the task force about a UAP encounter observed from a Navy vessel and about reporting barriers,,sworn_testimony|firsthand,navy|reporting,https://oversight.house.gov/release/hearing-wrap-up-government-must-be-more-transparent-about-uaps/,high,seed_corpus
STM-028,statement,press_comment,2026-02,month,Pete Hegseth - Department of War,Pete Hegseth,UP-0440,Department of War,"Publicly backed the administration's UAP disclosure promise while AARO's caseload exceeded 2,000",,official_position,disclosure_policy|aaro,https://defensescoop.com/2026/02/25/hegseth-ufo-disclosure-trump-aaro-uap-caseload/,high,seed_corpus
STM-029,statement,podcast,2026-08-29,day,Matthew Brown - American Alchemy,Matthew Brown,UP-0396,American Alchemy,"Described Immaculate Constellation as an operational special access program governing global UAP surveillance, said he found the briefing during routine classified file maintenance, and reported it through channels before going to Congress",,contested|firsthand_claim,immaculate_constellation|sap|surveillance,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
STM-030,statement,podcast,2026-08-24,day,Tim Gallaudet - American Alchemy,Tim Gallaudet,UP-0035,American Alchemy,"Said publicly for the first time that a classified Navy email documented UAP tracking across several ocean hotspots, and discussed a classified underwater reconnaissance organisation he was never read into",,contested|firsthand_claim|official_experience,uso|ocean_hotspots|navy,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
STM-031,statement,podcast,2026-07,month,Eric Burlison - American Alchemy,Eric Burlison,UP-0019,American Alchemy,"Recounted a briefing in which senior intelligence officials described three-metre glowing plasma orbs interacting with a helicopter and F-16s at a western US installation, and said the case was elevated to a top-tier national security concern",,on_record_public|secondhand,plasma_orbs|briefing|national_security,https://feeds.megaphone.fm/jessemichels,medium,seed_corpus
STM-032,statement,podcast,2026-07-09,day,Michael Shermer - American Alchemy,Michael Shermer,UP-0377,American Alchemy,Argued the evidence threshold for non-human intelligence has not been met and staked a public wager that no major scientific institution will confirm an alien presence by the end of 2030,,skeptical_analysis,evidence_threshold|wager|skepticism,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
STM-033,statement,podcast,2026-08-05,day,Dylan Borland - American Alchemy,Dylan Borland,UP-0041,American Alchemy,Described a 100-to-150-foot black metallic triangle taking off near a NASA hangar at Langley AFB in 2012 and stopping roughly 100 feet above him,,contested|firsthand_claim,langley|triangle|2012,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
STM-034,statement,podcast,2026-07-26,day,Brandon Fugal - American Alchemy,Brandon Fugal,UP-0283,American Alchemy,Presented what he described as new evidence of anomalous material beneath the mesa at Skinwalker Ranch and discussed the 'hitchhiker effect' reported by visitors,,contested|firsthand_claim,skinwalker|hitchhiker_effect,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
STM-035,statement,podcast,2026-05-12,day,Matthew Szydagis - That UFO Podcast,Matthew Szydagis,UP-0064,That UFO Podcast,Argued that credible UAP evidence requires multiple independent sensor modalities and that experimental-physics standards should govern the field,,scientific_analysis,sensors|methodology|scu,,high,seed_corpus
STM-036,statement,podcast,2026,year,Whitley Strieber - That UFO Podcast,Whitley Strieber,UP-0367,That UFO Podcast,Rejected framing the visitor phenomenon as simply demonic or angelic and argued disclosure will produce effects far beyond politics,,firsthand_claim|commentary,ontological_shock|experiencers,,medium,seed_corpus
STM-037,statement,podcast,2024-10,month,Sarah Gamm - That UFO Podcast,Sarah Gamm,UP-0399,That UFO Podcast,Described analytic work touching the UAP Task Force and discussed the consciousness-adjacent aspects of the subject encountered inside that environment,,on_record_public|official_experience,uaptf|consciousness,,high,seed_corpus
STM-038,statement,podcast,2026-07-20,day,Maaneli Derakhshani - American Alchemy,Maaneli Derakhshani,UP-0476,American Alchemy,"Said NASA holds two versions of the same Apollo-era photograph, one containing an anomalous object and one with it absent, and reported similar discrepancies across missions",,contested|scientific_analysis,apollo|imagery|archives,https://feeds.megaphone.fm/jessemichels,medium,seed_corpus
