appearance_id,person_id,person_name,podcast_id,podcast_name,role,episode_title,episode_date,date_precision,topic_tags,source_url,confidence,provenance
APP-001,UP-0168,Jeremy Corbell,POD-001,WEAPONIZED,host,,2023-01,month,host_role,,high,seed_corpus
APP-002,UP-0042,George Knapp,POD-001,WEAPONIZED,co_host,,2023-01,month,host_role,,high,seed_corpus
APP-003,UP-0167,Ross Coulthart,POD-002,Need To Know,co_host,,2021-12,month,host_role,,high,seed_corpus
APP-004,UP-0169,Bryce Zabel,POD-002,Need To Know,co_host,,2021-12,month,host_role,,high,seed_corpus
APP-005,UP-0183,Andy McGrillen,POD-003,That UFO Podcast,host,,2020-05,month,host_role,,high,seed_corpus
APP-006,UP-0184,Ryan Sprague,POD-004,Somewhere in the Skies,host,,2017-04,month,host_role,,high,seed_corpus
APP-007,UP-0175,Jesse Michels,POD-005,American Alchemy,host,,2024-10,month,host_role,,high,seed_corpus
APP-008,UP-0033,Ryan Graves,POD-006,MERGED,host,,2023,year,host_role,,high,seed_corpus
APP-009,UP-0397,Jake Barber,POD-005,American Alchemy,guest,UFO Crash Retrieval: Jake Barber's Firsthand Account,2025-01-30,day,crash_retrieval|whistleblower,https://podcasts.apple.com/us/podcast/ufo-crash-retrieval-jake-barbers-firsthand-account/id1771917740?i=1000687305399,high,seed_corpus
APP-010,UP-0448,James Fowler,POD-005,American Alchemy,guest,Meet The Startup Summoning UFOs: Skywatcher,2025-05,month,skywatcher|detection,https://pod.wave.co/podcast/american-alchemy/meet-the-startup-summoning-ufos-skywatcher-929440ba,high,seed_corpus
APP-011,UP-0175,Jesse Michels,POD-056,The Joe Rogan Experience,guest,JRE #2331,2025-06-03,day,uap|silicon_valley,,medium,seed_corpus
APP-012,UP-0174,Jay Anderson,POD-056,The Joe Rogan Experience,guest,JRE #2430,2025-12-24,day,uap|ancient_mysteries,https://podcasts.apple.com/us/podcast/2430-jay-anderson/id360084272?i=1000742619732,high,seed_corpus
APP-013,UP-0174,Jay Anderson,POD-010,Project Unity,host,,2019,year,host_role,,high,seed_corpus
APP-014,UP-0317,Alex Dietrich,POD-006,MERGED,guest,Pilot-to-pilot discussion,,unknown,nimitz|pilot_experience,https://www.mergedpodcast.com/,medium,seed_corpus
APP-015,UP-0059,Avi Loeb,POD-003,That UFO Podcast,guest,,2026,year,science|galileo_project,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-016,UP-0206,James Fox,POD-003,That UFO Podcast,guest,,2026,year,documentary|varginha,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-017,UP-0206,James Fox,POD-001,WEAPONIZED,guest,,2026,year,documentary,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-018,UP-0075,Jacques Vallee,POD-001,WEAPONIZED,guest,,2026,year,theory|history,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-019,UP-0206,James Fox,POD-007,Podcast UFO,guest,,2026,year,documentary,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-020,UP-0059,Avi Loeb,POD-021,UAP Unidentified Alien Podcast,guest,,2026,year,science,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-021,UP-0206,James Fox,POD-021,UAP Unidentified Alien Podcast,guest,,2026,year,documentary,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-022,UP-0445,Kathleen Marden,POD-020,AREA52 - DEBRIEFED,guest,,2026,year,abduction|hill_case,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-023,UP-0152,Nick Pope,POD-050,UFO - Extraterrestrial Reality,guest,,2026,year,mod|international,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-024,UP-0206,James Fox,POD-023,Down to Earth with Kristian Harloff,guest,,2026,year,documentary,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-025,UP-0472,Palmer Luckey,POD-023,Down to Earth with Kristian Harloff,guest,,2026,year,defense_tech|sensors,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-026,UP-0449,Caroline Cory,POD-055,TruthSeekah UFO network shows,recurring_guest,,2026,year,consciousness|contact,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-027,UP-0036,Luis Elizondo,POD-034,UFO and ET 101,guest,,2026,year,aatip|disclosure,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-028,UP-0397,Jake Barber,POD-034,UFO and ET 101,guest,,2026,year,crash_retrieval,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-029,UP-0108,Jordan Flowers,POD-035,WTUFO,guest,,2026,year,policy|disclosure_foundation,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-030,UP-0275,Stephen Bassett,POD-036,Coffee & UFOs,guest,,2026,year,lobbying|disclosure,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-031,UP-0451,Philip Mantle,POD-022,UAP Files Podcast,guest,,2026,year,research|publishing,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-032,UP-0450,Preston Dennett,POD-015,MUFON Contact Radio,guest,,2026,year,case_research,https://podcast.feedspot.com/ufo_podcasts/,medium,seed_corpus
APP-033,UP-0003,Tim Phillips,POD-003,That UFO Podcast,guest,,2025-06,month,aaro|interdimensional_comment,https://medium.com/@EscapeVelocity1/the-magnificent-backfiring-of-the-wall-street-journal-article-on-the-dods-longstanding-ufo-secrecy-25449544f06d,medium,seed_corpus
APP-034,UP-0168,Jeremy Corbell,POD-056,The Joe Rogan Experience,recurring_guest,,,unknown,video_releases|investigation,,medium,seed_corpus
APP-035,UP-0394,Bob Lazar,POD-056,The Joe Rogan Experience,guest,,,unknown,area_51|s4,,medium,seed_corpus
APP-036,UP-0447,Daniel P. Sheehan,POD-016,Full Disclosure with Danny Sheehan,host,,2024-10,month,host_role,,high,seed_corpus
APP-037,UP-0180,Matt Ford,POD-009,The Good Trouble Show,host,,2023-03,month,host_role,,high,seed_corpus
APP-038,UP-0200,Matt Laslo,POD-018,Ask a Pol UAPs,host,,2025-04,month,host_role,,high,seed_corpus
APP-039,UP-0290,Grant Cameron,POD-017,The Paranormal UFO Consciousness Podcast,host,,2021-03,month,host_role,,high,seed_corpus
APP-040,UP-0178,Chris Lehto,POD-019,Lehto Files,host,,2025,year,host_role,,high,seed_corpus
APP-041,UP-0461,Kelly Chase,POD-012,Cosmosis,host,,2021-12,month,host_role,,high,seed_corpus
APP-042,UP-0462,James Iandoli,POD-011,Engaging The Phenomenon,host,,2021-04,month,host_role,,high,seed_corpus
APP-043,UP-0193,Patrick Scott Armstrong,POD-008,Vetted,host,,2024-05,month,host_role,,high,seed_corpus
APP-044,UP-0372,Mick West,POD-064,Tales From the Rabbit Hole,host,,2020,year,host_role,,medium,seed_corpus
APP-045,UP-0216,Steven Greenstreet,POD-065,The Basement Office,host,,2019,year,host_role,,medium,seed_corpus
APP-046,UP-0170,Richard Dolan,POD-066,The Richard Dolan Show,host,,2019,year,host_role,,medium,seed_corpus
APP-047,UP-0367,Whitley Strieber,POD-058,Dreamland,host,,1999,year,host_role,,medium,seed_corpus
APP-048,UP-0171,George Noory,POD-057,Coast to Coast AM,host,,2003,year,host_role,,high,seed_corpus
APP-049,UP-0214,Linda Moulton Howe,POD-057,Coast to Coast AM,recurring_guest,,,unknown,earthfiles|reporting,,high,seed_corpus
APP-050,UP-0060,Garry Nolan,POD-060,Theories of Everything,guest,,,unknown,science|materials|biology,,medium,seed_corpus
APP-051,UP-0313,Mario Woods,POD-005,American Alchemy,guest,Air Force Veterans Abducted By Aliens Reunite After 50 Years,2026-09-07,day,ellsworth_afb|nuclear_sites|regression,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
APP-052,UP-0473,Michael Johnson,POD-005,American Alchemy,guest,Air Force Veterans Abducted By Aliens Reunite After 50 Years,2026-09-07,day,ellsworth_afb|nuclear_sites|regression,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
APP-053,UP-0474,Yvonne Smith,POD-005,American Alchemy,guest,Air Force Veterans Abducted By Aliens Reunite After 50 Years,2026-09-07,day,regression_therapy|experiencers,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
APP-054,UP-0490,Ammar Kandil,POD-005,American Alchemy,co_producer,Air Force Veterans Abducted By Aliens Reunite After 50 Years,2026-09-07,day,production,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
APP-055,UP-0396,Matthew Brown,POD-005,American Alchemy,guest,Pentagon Whistleblower UNLOADS on Alien Hybrid Breeding Programs,2026-08-29,day,immaculate_constellation|sap|whistleblower,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
APP-056,UP-0035,Tim Gallaudet,POD-005,American Alchemy,guest,Top Navy Admiral: The Ocean is Full of UFOs,2026-08-24,day,uso|ocean_hotspots|nuro,https://feeds.megaphone.fm/jessemichels,high,seed_corpus
