podcast_id,podcast_name,aliases,host_names,network_producer,country,launch_date,date_precision,status,cadence,avg_length_min,focus_tags,reach_tier,category,primary_url,feed_url,apple_lookup,youtube_url,feed_discovery_status,notable_recurring_guests,notes,confidence,last_verified
POD-001,WEAPONIZED with Jeremy Corbell & George Knapp,Weaponized,Jeremy Kenyon Lockyer Corbell|George Knapp,Extraordinary Beliefs / independent,US,2023-01,month,active,weekly,76,uap|investigative|documents|whistleblowers|paranormal,tier1_major,uap_core,https://www.weaponizedpodcast.com/,,itunes:1664299388,https://www.youtube.com/JeremyCorbell,observed_apple_id,James Fox|Jacques Vallee|Jay Stratton,Flagship investigative UAP show; frequent first-release of video/document leaks,high,2026-09-14
POD-002,Need To Know with Coulthart and Zabel,Need To Know|NTK,Ross Coulthart|Bryce Zabel,Bryce Zabel / independent,US/AU,2021-12,month,active,weekly,62,uap|journalism|disclosure_policy|whistleblowers,tier1_major,uap_core,https://www.needtoknow.today/,,itunes:1600409359,https://www.youtube.com/c/BryceZabel,observed_apple_id,Luis Elizondo|Christopher Mellon,Two investigative journalists; heavy focus on legislative and whistleblower developments,high,2026-09-14
POD-003,That UFO Podcast,TUFOP,Andy McGrillen,That UFO Podcast,UK,2020-05,month,active,multiple weekly,101,uap|news|interviews|uk_ufology,tier1_major,uap_core,https://audioboom.com/channels/5024014,,itunes:1511121397,https://www.youtube.com/c/ThatUFOPodcast,observed_apple_id,Avi Loeb|James Fox|Tim Phillips,Largest UK-based UAP interview show; 1000+ episodes,high,2026-09-14
POD-004,Somewhere in the Skies,SITS,Ryan Sprague,Entertainment One (eOne),US,2017-04,month,active,weekly,60,uap|experiencers|history|culture,tier1_major,uap_core,https://www.somewhereintheskies.com/,,itunes:1227858637,https://www.youtube.com/channel/UCYH8m4zyehr0rN3feBZ4mCA,observed_apple_id,,Long-running; host is an author and TV contributor,high,2026-09-14
POD-005,American Alchemy with Jesse Michels,American Alchemy,Jesse Michels,Independent (YouTube-first),US,2024-10,month,active,weekly,120,uap|silicon_valley|whistleblowers|fringe_science|longform,tier1_major,uap_adjacent_major,https://www.youtube.com/@americanalchemy,https://feeds.megaphone.fm/jessemichels,itunes:1771917740,https://www.youtube.com/@JesseMichels,verified_feed,Jake Barber|James Fowler|Garry Nolan|Hal Puthoff,YouTube channel predates the podcast feed (c.2021); broke the Jake Barber interview in Jan 2025,medium,2026-09-14
POD-006,MERGED,Merged Podcast,Ryan Graves,Merged Point,US,2023,year,active,irregular,60,uap|aviation_safety|pilots|science,tier2_established,uap_core,https://www.mergedpodcast.com/,,,https://www.youtube.com/@merged_podcast,name_lookup,Alex Dietrich,"[Reconciliation note: 'MERGED' is the actual show title, not a data artifact.] Hosted by the first active-duty US Navy pilot to testify publicly about UAP",high,2026-09-14
POD-007,Podcast UFO,,Martin Willis,Independent,US,2015-05,month,active,twice weekly,45,uap|witnesses|classic_cases|live_callin,tier2_established,uap_core,https://podcastufo.com/,,itunes:483046074,https://www.youtube.com/user/PodcastUFO,observed_apple_id,James Fox,1000+ episodes; live YouTube stream format,high,2026-09-14
POD-008,Vetted,Vetted: The UFO Sleuth,Patrick Scott Armstrong,SoHo Podcasts,US,2024-05,month,active,daily,33,uap|news_analysis|commentary|debunk_and_verify,tier1_major,uap_core,https://www.vetted.show/,,itunes:1744630840,https://www.youtube.com/@VETTEDPODCAST,observed_apple_id,,High-frequency YouTube-first commentary and reaction show,high,2026-09-14
POD-009,The Good Trouble Show with Matt Ford,Good Trouble Show,Matt Ford,The Good Trouble Show,US,2023-03,month,active,weekly,90,uap|politics|whistleblowers|national_security|ai,tier2_established,uap_core,https://www.thegoodtroubleshow.com/,,itunes:1676750079,,observed_apple_id,,Focus on Capitol Hill UAP politics and whistleblower interviews,high,2026-09-14
POD-010,Project Unity,,Jay Anderson,Independent (YouTube-first),UK,2019,year,active,weekly,90,uap|interviews|ancient_mysteries|consciousness,tier1_major,uap_core,https://www.youtube.com/@ProjectUnity,,,https://www.youtube.com/@ProjectUnity,youtube_only,,Host appeared on The Joe Rogan Experience #2430 (2025-12-24),medium,2026-09-14
POD-011,Engaging The Phenomenon,ETP,James Iandoli,Independent,US,2021-04,month,active,weekly,85,uap|ce5|experiencers|consciousness|research,tier2_established,uap_core,https://www.youtube.com/c/EngagingThePhenomenon,,,https://www.youtube.com/c/EngagingThePhenomenon,youtube_first,,Host is an experiencer and researcher,high,2026-09-14
POD-012,Cosmosis,The UFO Rabbit Hole,Kelly Chase|Jay Christopher King,Independent,US,2021-12,month,active,weekly,48,uap|nhi|consciousness|paranormal|analysis,tier2_established,uap_core,https://www.uforabbithole.com/,,itunes:1595590107,,observed_apple_id,,Rebranded from The UFO Rabbit Hole; co-host is an experiencer/filmmaker,high,2026-09-14
POD-013,Open Minds UAP News,Open Minds UFO Radio,Alejandro Rojas,OpenMinds.tv,US,2009-08,month,active,weekly,70,uap|news|interviews|research,tier2_established,uap_core,https://www.openminds.tv/,,itunes:302000822,https://www.youtube.com/channel/UCxIPQuLWmZ3FBK7A-K8gKmw,observed_apple_id,,One of the longest continuously running UFO interview programs,high,2026-09-14
POD-014,The Official MUFON Podcast,MUFON Podcast,Richard Beckwith,MUFON (Mutual UFO Network),US,2020-06,month,active,weekly,63,uap|field_investigation|mufon|case_studies,tier2_established,org_affiliated,https://www.spreaker.com/podcast/the-official-mufon-podcast--3542831,,itunes:1530748329,https://www.youtube.com/@MUFONHQ,observed_apple_id,,Official podcast of the largest civilian UFO investigation network,high,2026-09-14
POD-015,MUFON Contact Radio,,Earl Grey Anderson|Sev Tok,KGRA Digital Broadcasting,US,2024,year,active,weekly,115,uap|experiencers|mufon|contact,tier3_niche,org_affiliated,https://open.spotify.com/show/3EYsMJINYzLsjAzctywurJ,,,,,Katie Paige|Preston Dennett,Hosts are MUFON state directors and Experiencer Resource Team members,high,2026-09-14
POD-016,Full Disclosure with Danny Sheehan,New Paradigm,Daniel P. Sheehan,SpectreVision Radio,US,2024-10,month,active,weekly,32,uap|law|policy|ethics|disclosure_movement,tier2_established,uap_core,https://newparadigminstitute.org/,,itunes:1775069387,,observed_apple_id,,Hosted by a constitutional attorney central to the legal side of disclosure,high,2026-09-14
POD-017,The Paranormal UFO Consciousness Podcast,Grant Cameron podcast,Grant Cameron,Independent,CA,2021-03,month,active,weekly,55,uap|consciousness|experiencers|presidential_ufo_records,tier2_established,uap_core,https://open.spotify.com/show/2iZhuwub4reWIYAaiiNIwo,,,,,Ryan Wood,Host specialises in presidential/UFO government history and the consciousness link,high,2026-09-14
POD-018,Ask a Pol UAPs,Ask a Pol,Matt Laslo,Ask a Pol,US,2025-04,month,active,frequent short,2,uap|congress|accountability_journalism,tier3_niche,uap_core,https://www.askapoluaps.com/,,itunes:1808057601,,observed_apple_id,,Bite-size format: lawmakers questioned directly in Capitol hallways,high,2026-09-14
POD-019,Lehto Files,Lehto Files - Investigating UAPs,Chris Lehto,Independent,US,2025,year,active,weekly,77,uap|pilot_analysis|video_analysis|whistleblowers,tier2_established,uap_core,https://www.youtube.com/c/ChrisLehtoF16,,itunes:1849405737,https://www.youtube.com/c/ChrisLehtoF16,observed_apple_id,,Host is an 18-year USAF F-16 veteran; YouTube channel predates podcast feed,medium,2026-09-14
POD-020,AREA52 - DEBRIEFED with Chris Ramsay,Debriefed,Chris Ramsay,Area 52 / independent,CA,2024-01,month,active,weekly,136,uap|whistleblowers|nhi|psi,tier2_established,uap_core,https://open.spotify.com/show/26PjFc2gsF0jE9CiMvNBVt,,itunes:1724258920,,observed_apple_id,Kathleen Marden,Host is a magician/YouTuber who pivoted into UAP investigation,high,2026-09-14
